1	12	18	11	11	19	17	4	6	8	12	11	6	10	10	9	5	5	8	10	1	6	9	11	5	12	7	10	10	5	10	11	10	12	4	6	8	6	9	4	4	8	7	4	1	2	7	4	7	3	5	1	4	9	4	2	3	3	1	1	1	3	5	3	6	2	4	7	4	4	3	1	4	3	1	6	3	4	5	6	9	8	3	2	6	10	8	7	8	9	0	13	6	6	14	10	14	10	10	9	11	12	8	14	11	11	18	20	18	24	17	10	11	12	20	21	21	20	18	31	17	19	24	20	19	19	19	18	15	19	19	18	24	18	13	23	23	23	20	9	32	45	29	24	21	18	20	28	24	15	25	16	38	25	25	21	20	28	23	19	19	23	14	32	27	29	30	33	20	37	26	42	35	33	23	24	36	28	26	28	27	30	13	24	33	22	22	29	29	36	24	24	19	24	26	22	21	18	42	25	26	31	29	21	22	29	26	13	20	34	18	28	22	33	14	32	25	27	29	24	21	31	25	23	30	30	28	17	32	17	21	21	23	15	21	20	19	26	23	23	18	20	20	23	21	14	18	26	21	22	26	12	16	20	16	15	19	14	14	15	19	13	17	17	18	12	13	14	14	13	7	10	11	12	13	11	7	16	9	10	9	11	8	4	7	3	6	3	6
1	12	9	11	7	12	14	10	10	10	6	10	14	12	18	12	13	13	10	11	9	6	9	9	13	18	8	7	10	13	10	10	10	7	13	6	7	7	7	15	7	9	5	9	8	4	1	5	7	8	1	4	6	3	3	11	9	9	4	3	6	1	1	4	4	3	3	4	1	5	5	3	6	5	2	9	5	6	1	7	7	6	7	3	8	9	5	8	6	8	7	5	8	4	12	7	7	10	17	22	7	9	9	20	10	9	8	18	11	12	11	13	24	8	14	6	22	21	20	14	20	21	24	24	20	17	17	17	16	26	32	14	14	22	10	12	22	20	20	27	30	34	25	27	21	21	30	18	20	19	7	21	13	30	22	28	18	21	19	19	27	26	25	19	29	18	30	25	20	24	17	24	31	29	26	29	22	37	17	28	26	23	35	32	21	23	25	11	29	21	24	29	24	24	14	23	25	22	23	16	22	25	20	12	14	23	20	21	26	21	14	30	20	20	32	33	20	17	31	23	24	26	24	22	29	34	18	17	21	23	15	19	24	20	22	20	26	19	20	14	18	21	20	21	16	22	16	26	17	15	20	13	19	17	21	6	21	17	21	14	24	18	12	11	11	16	11	15	25	10	16	11	12	7	5	12	14	8	3	4	7	9	11	6	9	7	10	4	9
1	8	5	10	11	9	10	7	18	11	8	8	8	6	3	7	9	8	7	9	7	4	9	6	5	13	5	11	7	7	8	8	7	3	3	4	11	6	3	5	4	6	7	0	4	2	2	4	4	4	2	3	2	3	4	1	7	4	6	4	2	5	4	2	1	2	3	4	3	4	3	4	6	5	3	6	4	3	6	4	4	5	6	6	7	6	4	6	7	7	6	4	12	7	9	5	9	6	11	17	9	12	7	18	15	15	10	13	17	16	14	14	16	16	20	9	26	17	16	16	22	23	16	13	21	23	22	28	31	21	16	22	25	25	15	27	27	24	22	24	21	23	32	18	30	27	30	31	33	36	21	37	18	19	18	21	29	23	17	24	21	33	27	33	26	29	26	32	32	22	34	38	33	29	42	41	30	19	31	28	24	23	22	19	32	28	23	22	16	30	16	24	22	20	25	22	16	27	26	22	27	33	29	23	24	15	33	23	21	23	23	24	31	33	30	35	24	17	27	33	28	21	25	20	22	32	25	21	26	20	21	24	27	29	26	22	27	24	14	21	16	16	20	25	15	19	17	18	23	24	22	23	15	24	17	9	13	15	17	13	16	17	20	14	21	16	21	19	8	8	23	9	12	9	10	11	6	6	11	13	7	6	7	1	2	6	7	8	6
1	16	15	13	14	8	16	14	9	9	8	9	9	10	14	8	6	8	13	5	4	10	8	9	6	11	7	12	5	11	3	8	2	7	2	7	6	6	6	1	3	6	3	6	3	0	8	6	7	5	2	1	2	2	2	4	1	7	1	6	4	4	3	3	4	8	3	4	4	4	3	3	3	5	8	6	7	4	8	6	9	5	7	6	15	6	4	9	6	17	9	10	9	7	17	9	8	9	16	17	9	8	15	15	11	18	15	28	19	15	18	19	24	14	22	13	20	30	24	28	20	34	24	28	23	25	25	26	22	29	22	20	25	24	27	24	20	20	26	27	16	22	26	33	19	19	24	21	34	11	37	22	27	28	25	20	30	27	25	30	35	44	20	37	28	19	30	37	33	41	32	37	30	27	17	38	33	33	26	20	32	32	36	30	33	37	34	61	48	52	58	55	57	59	57	46	53	51	57	47	54	47	50	49	49	48	44	47	32	31	22	20	31	26	19	27	26	30	16	28	20	34	25	26	16	22	20	19	25	25	20	28	22	20	19	18	13	21	16	14	17	26	15	10	24	15	10	13	14	7	12	17	17	11	13	13	10	18	15	21	22	27	12	14	13	15	3	8	17	15	8	12	9	9	13	5	10	10	11	12	11	6	3	11	9	2	6	6	3
1	8	6	5	11	7	4	10	8	8	4	7	3	3	9	4	2	9	6	4	4	4	7	7	6	4	12	4	10	6	5	12	4	5	6	6	2	3	1	8	2	8	3	2	4	4	4	5	0	3	1	0	5	2	2	3	6	5	1	2	2	4	2	3	4	3	3	4	2	2	2	6	3	3	2	7	5	8	3	4	10	6	10	5	7	4	6	6	9	8	2	5	9	5	8	9	4	4	9	12	7	11	20	13	10	17	12	8	15	10	13	13	12	14	11	16	10	11	16	17	16	16	16	17	17	25	23	22	24	17	15	12	24	12	13	12	14	10	25	12	21	37	32	30	23	30	18	22	31	17	19	19	26	22	24	12	21	29	23	21	30	26	15	28	14	26	25	32	17	20	21	23	27	29	16	30	16	27	22	21	25	14	22	17	19	28	32	26	18	25	24	33	18	22	23	22	29	16	27	14	19	24	26	26	24	15	18	20	27	15	11	19	21	19	14	14	28	19	16	19	21	21	13	18	23	18	13	18	16	12	17	22	16	10	24	14	22	22	22	16	24	15	13	23	14	14	18	24	22	23	24	14	22	17	21	18	13	13	16	29	15	13	15	25	9	22	12	16	11	16	26	21	24	20	16	13	16	11	13	19	13	15	17	10	8	12	16	15	13
1	12	16	17	9	13	7	17	4	6	10	7	14	10	13	7	9	7	10	3	7	12	12	9	9	5	7	10	8	9	5	7	5	5	8	9	4	4	3	3	2	5	4	4	6	6	4	5	6	5	4	2	3	3	1	0	4	3	3	4	0	4	3	7	3	4	6	3	2	5	10	7	4	4	6	3	1	6	4	9	8	7	6	8	11	7	4	5	6	8	4	4	4	9	13	13	8	15	11	19	17	15	11	16	12	26	17	11	18	13	14	15	12	15	16	17	17	20	14	19	16	14	13	24	18	16	26	22	20	21	25	23	24	23	20	27	29	26	17	26	39	33	36	36	27	33	30	19	24	28	18	27	19	8	20	19	30	24	31	23	32	24	25	31	30	32	28	23	30	27	30	31	34	23	38	26	24	32	24	30	33	23	26	26	36	23	21	28	23	24	29	36	37	27	30	26	35	32	23	42	27	26	22	30	31	20	23	33	25	33	33	26	28	26	32	28	29	16	34	25	27	30	20	38	37	32	19	16	24	40	26	31	25	25	21	13	26	13	20	26	22	23	17	13	12	21	12	10	19	17	17	14	18	14	15	8	21	19	7	8	10	7	16	17	11	16	8	15	11	12	9	10	13	14	9	7	3	6	5	4	8	8	10	17	4	6	3	4	6
1	13	14	18	11	11	13	13	2	8	10	5	13	3	5	3	8	2	3	3	9	8	3	4	4	8	12	11	7	10	11	4	1	2	5	4	9	4	2	3	4	6	3	4	3	5	3	6	8	4	2	3	3	5	4	2	4	7	3	1	5	3	3	1	0	4	2	5	2	5	5	10	3	6	4	2	7	3	9	9	3	8	4	3	3	9	6	10	2	4	10	7	11	18	13	8	8	8	18	8	12	12	13	16	19	14	11	16	17	9	5	21	18	6	8	18	19	15	16	19	16	17	19	14	19	24	17	20	18	15	20	20	14	22	17	24	18	14	30	23	24	21	26	32	24	21	29	22	23	25	24	21	26	28	22	19	23	25	32	28	23	33	13	28	33	30	21	27	31	34	28	29	17	17	18	26	31	25	32	26	22	23	25	20	22	22	27	28	21	35	21	29	22	23	20	34	40	23	30	22	32	30	22	30	30	30	32	39	29	20	27	33	25	24	24	32	36	38	27	19	29	27	21	20	24	26	10	20	21	35	24	15	17	19	19	15	18	16	21	15	28	18	17	18	19	8	9	17	21	11	14	18	18	23	19	28	20	15	13	22	20	19	7	12	19	9	11	13	6	10	19	20	8	10	11	14	20	18	14	4	11	9	1	0	0	0	1	0	0
1	18	13	10	16	16	12	9	15	13	7	9	17	10	10	9	9	8	13	8	10	9	10	3	12	5	10	8	9	8	5	10	7	11	10	7	3	4	3	4	7	3	3	3	5	5	6	2	5	4	3	7	3	4	4	2	2	4	7	1	3	3	5	2	3	2	4	3	3	3	5	4	5	7	2	4	6	4	5	4	10	4	4	5	2	4	6	9	6	2	12	11	5	9	11	2	13	9	16	4	4	11	14	9	7	19	14	12	23	13	15	6	14	11	10	16	19	18	16	27	22	17	16	19	14	25	28	32	23	33	22	18	27	13	19	21	16	24	28	22	34	26	34	22	25	19	25	23	24	23	26	24	26	29	27	20	27	25	19	20	18	17	26	23	31	24	30	24	32	48	37	23	28	22	37	16	24	24	37	33	19	31	35	25	37	26	38	33	31	46	42	58	53	46	48	47	54	50	49	58	46	50	51	40	51	46	41	32	20	24	22	35	31	38	28	31	27	36	27	24	26	29	23	33	35	21	26	30	29	25	29	24	27	19	18	30	27	17	17	14	14	18	30	23	15	25	18	23	20	27	17	17	16	13	33	16	19	10	14	14	26	14	12	9	19	12	20	15	22	14	8	10	12	13	18	11	19	9	7	11	12	3	7	4	6	5	2	1	10
1	19	13	9	14	14	13	4	10	9	7	9	6	8	3	4	3	7	7	4	6	8	9	5	7	7	9	3	9	9	2	4	7	4	11	10	1	9	5	7	13	11	8	13	17	9	5	7	3	6	4	3	1	5	2	4	1	2	2	4	4	4	3	4	2	2	3	0	0	3	1	7	6	6	1	2	5	9	8	6	6	9	8	5	9	3	7	5	4	7	9	7	6	10	7	10	14	7	10	13	13	11	9	11	14	13	11	15	16	15	27	23	12	20	23	10	12	18	28	11	21	11	18	12	12	21	22	28	24	20	25	23	19	21	27	15	21	27	19	33	15	23	24	26	18	14	20	24	14	21	15	25	15	26	14	15	20	15	12	38	28	21	23	21	25	24	28	23	21	30	26	20	36	29	34	37	38	28	29	21	25	25	22	16	34	20	30	18	32	27	23	17	29	25	30	18	29	39	29	28	25	16	19	16	20	14	25	24	26	28	29	31	17	27	21	21	28	26	22	29	29	20	21	13	27	26	29	18	18	24	17	21	16	18	27	29	21	19	14	18	18	22	16	12	17	14	16	16	23	19	11	9	19	17	9	12	16	14	20	16	10	9	17	13	9	17	17	18	18	8	12	8	15	5	5	13	16	10	6	7	6	6	4	8	5	6	9	3	4
1	24	17	16	11	11	10	11	12	7	7	5	7	3	11	8	6	10	9	8	3	8	8	11	8	6	2	12	11	11	3	1	7	7	9	4	3	9	9	6	4	4	8	2	7	5	4	3	1	5	6	1	2	6	4	3	3	3	2	3	1	4	3	2	3	5	4	2	2	6	8	3	6	2	3	3	7	6	7	1	11	10	4	6	5	3	7	9	5	6	10	17	13	12	12	19	19	10	14	11	10	8	13	13	17	14	16	21	11	18	18	12	21	19	17	16	20	13	22	33	21	24	25	16	20	30	28	22	24	22	21	19	26	21	29	26	21	23	33	27	34	38	29	33	42	20	27	29	27	24	19	25	25	21	40	19	17	21	15	23	24	30	34	27	29	23	22	25	27	40	27	32	23	33	30	29	24	24	26	26	23	37	38	37	38	36	27	29	28	24	34	33	21	24	18	26	13	23	22	27	32	28	17	21	26	33	28	28	29	31	27	31	22	25	33	26	20	23	33	29	28	18	32	16	23	14	30	24	39	28	36	30	21	30	30	22	26	27	21	27	25	23	19	22	21	19	15	25	27	24	17	22	26	18	14	15	17	14	21	19	17	20	16	21	17	14	14	17	11	16	12	16	13	13	10	9	11	8	9	13	11	10	10	13	5	9	9	8	10
1	9	8	13	5	11	11	15	13	5	16	11	13	14	11	8	6	10	4	14	7	9	9	13	5	15	5	8	7	9	5	4	7	10	7	5	4	7	5	3	3	5	3	5	9	6	4	2	5	12	2	7	12	5	12	6	7	3	7	5	4	5	5	7	4	3	3	4	12	10	11	14	7	10	7	13	10	7	6	11	13	18	11	13	15	17	12	12	17	15	16	18	21	19	13	20	14	17	20	9	10	9	9	15	18	19	20	10	15	16	15	15	8	15	15	15	19	21	27	21	16	28	21	25	21	27	20	23	10	24	19	18	25	20	19	24	16	25	23	29	25	33	41	28	20	21	23	20	24	27	36	19	26	20	21	24	28	24	19	22	23	28	28	31	30	21	25	37	22	22	24	17	32	28	30	38	31	36	36	31	42	43	35	40	35	31	25	36	43	43	44	43	44	47	49	46	53	52	45	52	51	51	50	50	43	49	48	51	29	36	24	30	34	22	34	18	20	22	24	24	30	23	22	28	21	24	23	24	20	25	22	25	28	26	16	20	17	26	20	18	20	20	22	21	14	24	26	20	18	20	13	19	12	8	9	10	15	13	20	16	14	10	15	12	17	16	20	19	13	15	10	10	9	14	7	13	8	11	15	7	7	8	7	10	5	9	3	7	7
1	18	13	7	9	11	11	8	9	11	8	6	11	11	7	11	5	10	10	7	9	9	7	8	6	6	5	13	11	11	10	11	4	1	6	9	11	5	3	4	3	6	4	3	2	5	4	0	0	2	4	4	5	2	1	0	5	1	2	2	2	3	3	1	5	2	3	1	1	5	6	4	4	6	5	5	7	3	13	4	7	12	7	2	7	6	3	9	8	6	7	16	5	9	11	9	9	6	9	3	10	12	10	11	20	13	12	26	9	19	16	9	11	12	15	16	10	20	24	16	15	15	24	11	11	20	21	29	23	17	30	29	17	24	25	31	21	34	27	27	32	23	20	28	23	37	22	28	30	26	14	20	19	23	12	24	29	17	14	30	24	19	16	29	21	24	28	24	19	24	42	34	23	21	20	26	22	21	21	35	33	18	30	24	18	29	19	20	18	33	19	25	25	18	17	33	23	17	20	21	20	25	21	30	25	33	26	23	14	10	12	21	22	24	14	18	21	32	14	26	36	23	23	30	27	40	27	25	18	24	19	25	30	13	19	19	14	19	24	15	17	23	16	8	21	32	20	24	26	27	12	14	13	17	20	20	14	23	17	24	15	22	17	22	24	25	18	22	17	20	13	8	14	12	8	18	14	11	8	9	13	6	8	3	11	6	7	6	10
2	9	5	6	4	4	7	4	5	6	2	4	0	0	3	5	6	1	4	2	8	7	5	4	4	1	2	1	3	0	1	3	1	2	4	2	4	2	1	2	1	3	2	2	0	1	1	0	0	1	2	3	2	2	1	4	3	4	4	7	6	3	4	7	4	5	13	9	10	7	13	5	9	9	21	9	14	14	15	23	21	25	22	19	17	22	30	26	31	41	33	33	36	43	22	27	39	37	27	34	33	36	24	19	32	30	31	29	43	28	35	32	22	27	27	22	25	29	28	25	22	31	21	25	26	30	29	22	19	25	19	18	21	11	26	23	23	25	24	26	12	27	33	33	17	13	28	29	23	24	27	28	18	15	21	28	25	22	29	15	42	26	33	21	19	19	11	25	23	28	38	37	39	37	28	33	33	40	41	28	28	32	32	37	41	30	29	42	34	22	22	23	23	29	39	24	30	27	26	18	40	33	30	38	35	31	37	21	27	35	31	28	32	25	30	29	34	30	33	39	40	33	32	39	44	34	37	22	20	35	22	24	38	22	28	26	18	21	20	31	20	15	11	27	19	20	13	16	21	12	11	12	16	15	26	29	19	12	13	17	7	8	13	10	13	18	8	15	9	9	11	10	11	15	10	3	6	9	10	7	7	4	10	8	6	2	2	4	9
2	7	4	3	5	4	2	8	5	8	3	2	3	5	4	3	0	4	3	5	2	5	6	1	3	4	4	3	3	0	0	1	3	2	2	3	0	0	2	2	2	1	1	6	1	2	0	1	2	1	2	2	2	1	4	3	1	3	4	9	3	6	2	4	2	7	11	13	7	20	5	8	23	19	14	14	15	22	15	20	24	27	28	23	35	28	33	35	29	42	36	33	30	38	31	49	32	37	41	23	24	39	36	31	38	29	32	46	24	28	23	39	27	36	28	28	31	32	32	24	34	41	26	25	21	25	38	22	24	19	23	33	17	17	15	32	18	28	21	23	20	25	24	16	20	27	24	25	17	25	24	23	16	19	29	17	27	14	19	24	27	23	25	17	25	17	25	26	29	35	17	31	22	35	31	29	35	31	40	27	36	26	30	37	42	30	34	34	41	37	46	26	34	29	38	45	38	21	36	24	22	28	27	28	31	33	27	33	32	20	29	40	20	22	20	27	19	33	27	30	30	21	34	37	28	18	31	27	35	19	38	32	18	16	30	22	26	24	25	30	12	20	14	9	20	14	20	13	13	10	15	16	11	13	16	20	19	18	14	18	15	4	9	19	21	8	10	16	6	15	14	9	13	8	9	5	3	12	5	8	7	6	8	5	2	10	5	8	6
2	2	8	7	6	2	8	5	10	3	6	4	3	3	2	2	1	5	6	4	4	3	6	8	3	0	2	0	4	3	6	0	3	2	2	1	2	0	2	1	3	1	3	3	2	2	1	1	0	0	3	2	2	1	1	3	4	2	7	4	5	6	5	5	9	3	7	13	3	13	7	16	4	10	8	16	11	12	16	18	14	20	24	20	35	19	35	28	17	21	26	40	37	25	43	22	40	20	31	37	26	31	27	30	37	25	44	27	37	31	24	29	27	19	36	38	22	19	27	31	31	35	21	36	14	33	27	27	34	25	26	26	24	18	14	19	21	21	31	23	17	18	23	16	28	23	22	20	33	19	18	25	28	24	17	26	21	23	23	16	24	36	27	38	22	28	26	32	19	31	23	44	32	13	32	34	29	31	32	40	20	35	20	17	40	40	26	34	28	39	39	30	28	30	24	26	40	31	32	33	45	33	37	38	34	29	24	30	27	15	30	26	29	33	21	25	22	27	8	35	28	24	39	23	29	21	29	32	32	15	21	27	27	18	30	31	18	18	21	22	15	18	18	20	22	20	27	23	21	11	5	15	12	16	15	19	12	21	10	12	5	15	6	10	13	12	8	14	16	10	9	3	3	9	14	8	8	13	13	11	7	12	4	9	13	3	5	5	3
2	5	8	8	8	7	4	4	2	5	2	4	2	8	3	3	5	2	6	6	3	8	7	8	4	1	1	6	2	1	1	5	0	3	1	5	4	2	3	6	3	7	7	3	2	1	4	2	0	1	3	3	1	2	5	3	2	6	5	6	5	6	4	6	6	4	6	6	12	10	15	9	15	10	13	14	20	16	14	27	24	23	22	17	20	30	24	20	33	38	38	20	25	35	32	27	26	25	44	31	31	19	38	29	35	29	48	20	38	34	36	42	24	28	18	33	30	26	33	21	25	32	23	39	25	20	37	36	35	39	25	22	32	35	23	29	30	29	17	26	21	23	13	29	26	14	19	22	15	32	30	35	25	22	23	30	21	20	32	38	27	24	37	26	23	27	19	26	28	30	28	25	36	19	31	20	34	42	31	19	30	43	43	33	36	42	43	44	32	38	34	21	36	35	29	16	38	31	30	32	35	28	33	35	30	32	37	39	28	24	16	23	27	33	37	24	27	35	41	33	30	37	38	36	33	33	26	37	32	19	13	26	30	25	22	18	30	23	31	20	18	22	11	19	12	24	17	17	26	16	21	13	9	19	14	14	8	8	22	17	10	16	12	12	15	12	13	10	16	8	9	11	7	7	12	5	5	15	13	10	7	10	9	11	1	9	2	8	4
2	7	5	5	5	0	5	1	7	7	2	1	2	2	4	1	4	2	3	3	4	2	6	3	3	1	2	1	4	0	1	2	2	1	2	0	5	1	1	1	2	2	3	3	0	4	2	3	3	5	0	3	5	1	2	1	2	6	5	6	10	8	7	8	12	1	7	7	11	11	12	8	14	13	15	16	11	18	17	24	21	22	27	29	22	23	27	39	38	41	NaN	NaN	45	34	51	44	43	31	37	43	29	33	43	33	40	35	40	44	45	45	46	35	24	36	37	34	31	40	27	39	24	27	47	25	24	30	26	23	27	33	25	29	26	27	29	13	24	26	25	33	19	28	20	20	23	12	18	21	22	29	30	27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34	32	42	37	33	29	43	41	49	30	43	38	53	38	45	38	31	30	25	28	38	45	32	51	33	37	41	30	37	47	36	28	29	37	29	43	39	37	46	37	35	28	40	43	46	47	37	39	33	28	43	30	41	35	35	28	23	29	29	25	30	29	27	26	17	28	29	18	15	17	10	12	18	19	21	19	19	19	31	26	33	22	26	33	37	27	30	38	40	32	38	16	17	14	22	12	9	14	15	7	9	8	11	9	8	6	7	6	7	7	10	7
2	4	6	8	4	2	4	1	10	5	2	1	3	3	3	1	1	2	5	0	2	4	5	4	1	3	1	3	5	2	0	1	3	3	2	0	8	0	1	3	4	1	2	3	2	2	2	1	1	2	2	3	2	1	6	4	2	7	2	3	5	5	3	4	2	8	6	5	15	6	7	9	10	12	11	8	12	18	12	28	17	23	29	30	20	16	31	37	43	40	25	25	25	28	37	30	40	44	35	28	37	29	35	43	43	36	34	38	37	32	32	37	36	34	43	21	35	28	30	26	26	35	29	31	23	20	21	24	22	32	4	20	20	23	20	20	25	15	23	28	30	22	16	25	36	37	26	24	29	23	24	27	21	21	30	31	24	24	31	27	19	19	31	NaN	25	29	40	20	34	34	22	28	29	31	26	31	26	40	37	43	40	29	30	43	35	26	34	42	44	41	32	31	40	22	30	31	36	27	39	28	36	19	31	37	38	23	33	35	36	35	40	35	33	27	23	31	30	22	26	41	22	27	23	26	27	29	35	21	29	25	22	29	21	24	26	24	20	16	19	15	16	13	20	9	23	16	14	20	14	19	15	16	14	11	18	19	19	17	12	14	28	10	9	20	15	9	12	14	14	10	12	9	13	10	8	13	11	6	9	15	6	3	11	7	7	4	2	4	4
2	2	2	7	7	10	1	6	8	2	4	9	2	3	4	1	6	5	5	2	4	0	2	5	4	3	6	3	2	2	2	2	4	1	2	4	4	2	2	0	5	1	0	4	3	1	1	3	2	4	1	1	5	4	2	4	3	5	5	4	6	5	8	9	5	4	15	14	9	16	8	11	17	9	18	23	7	15	19	31	27	33	33	29	35	31	43	39	39	38	46	34	40	41	46	36	48	50	20	33	35	33	43	34	42	45	31	39	32	43	25	32	34	50	39	27	27	30	22	32	22	19	24	29	29	34	27	24	26	29	28	17	27	19	30	20	32	33	33	27	30	31	28	23	28	31	17	28	24	28	21	20	20	24	25	29	19	26	16	34	24	31	22	33	26	25	26	24	27	27	27	17	19	35	31	33	36	41	38	34	26	35	37	46	42	32	40	36	31	34	36	36	43	37	30	28	32	37	36	34	40	44	32	36	39	44	20	35	32	40	39	37	38	30	29	30	33	35	26	38	38	41	25	22	40	22	30	22	28	34	19	34	40	24	29	25	17	26	29	24	23	18	17	20	25	17	20	12	15	18	22	12	13	18	14	18	21	22	26	36	15	31	18	20	28	24	24	29	30	30	25	13	25	40	26	23	14	13	20	17	13	4	3	5	12	14	7	10	10
